NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL2	119	3.436131000518799	0.16880858	Yes	
row_1	BCL2L11	312	2.3695619106292725	0.27938175	Yes	
row_2	TP63	635	1.620439052581787	0.3448721	Yes	
row_3	AKT3	819	1.4029580354690552	0.40665883	Yes	
row_4	PPP3CC	1016	1.2350879907608032	0.45919958	Yes	
row_5	SFN	1073	1.1907459497451782	0.5169141	Yes	
row_6	YWHAZ	1746	0.8360763788223267	0.5238439	Yes	
row_7	YWHAH	1753	0.832548201084137	0.5659573	Yes	
row_8	YWHAQ	1812	0.8098263144493103	0.60415155	Yes	
row_9	BID	1869	0.7926182746887207	0.6415749	Yes	
row_10	TP53BP2	2146	0.7086635828018188	0.66303784	Yes	
row_11	PPP1R13B	2256	0.6755744218826294	0.69168174	Yes	
row_12	YWHAG	3646	0.392589807510376	0.6379371	No	
row_13	TP73	4023	0.3426832854747772	0.6354375	No	
row_14	DYNLL2	6796	0.09874089807271957	0.4932815	No	
row_15	DYNLL1	7079	0.08072497695684433	0.48242208	No	
row_16	AKT2	7234	0.07164733856916428	0.47789654	No	
row_17	TFDP1	7379	0.06361754983663559	0.47349274	No	
row_18	TFDP2	7804	0.037610091269016266	0.45289594	No	
row_19	BBC3	7915	0.03190099820494652	0.448681	No	
row_20	BAD	8388	0.007620650809258223	0.424007	No	
row_21	E2F1	8455	0.0034760399721562862	0.4206797	No	
row_22	YWHAE	10027	-0.078811876475811	0.34127903	No	
row_23	YWHAB	10102	-0.08386971056461334	0.3416243	No	
row_24	PPP3R1	12157	-0.21251580119132996	0.24339159	No	
row_25	PMAIP1	12542	-0.2401822954416275	0.23524308	No	
row_26	BMF	12724	-0.2540329098701477	0.23857944	No	
row_27	TP53	14087	-0.37776538729667664	0.18551292	No	
row_28	AKT1	16151	-0.6504529714584351	0.10912241	No	
row_29	MAPK8	16317	-0.6822906136512756	0.1351351	No	
