NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AJ	327	2.283302068710327	0.078315005	Yes	
row_1	H2BC21	375	2.1279470920562744	0.16498835	Yes	
row_2	H2BC8	437	1.9892040491104126	0.24510443	Yes	
row_3	H3C8	470	1.9232139587402344	0.3239952	Yes	
row_4	H2BC9	625	1.6293359994888306	0.38409302	Yes	
row_5	H2AC7	666	1.5878369808197021	0.4485054	Yes	
row_6	H2BC5	701	1.5312310457229614	0.5108644	Yes	
row_7	H2AC6	859	1.3795839548110962	0.56033736	Yes	
row_8	H2BC13	1077	1.1881710290908813	0.5986033	Yes	
row_9	H2AC8	1617	0.8889248967170715	0.60723114	Yes	
row_10	H2BC12	1633	0.8782466053962708	0.6432365	Yes	
row_11	H4C9	1735	0.8393301963806152	0.67304444	Yes	
row_12	H2BC11	2292	0.6673431992530823	0.6714845	Yes	
row_13	H2BC14	2315	0.6593583822250366	0.69794583	Yes	
row_14	H2BC26	2772	0.5509790778160095	0.6968199	Yes	
row_15	ORC1	3200	0.46672219038009644	0.6937032	Yes	
row_16	H2AX	3423	0.4252420961856842	0.699734	Yes	
row_17	KPNA6	3467	0.4185087978839874	0.71498775	Yes	
row_18	ORC6	3923	0.3547491133213043	0.70569205	No	
row_19	H2BC15	5192	0.21767069399356842	0.64748114	No	
row_20	H2AC14	5270	0.21105709671974182	0.6522364	No	
row_21	H2BC17	5762	0.17050080001354218	0.6333084	No	
row_22	H3-3B	5861	0.164022296667099	0.6349777	No	
row_23	H2AZ2	5911	0.16095690429210663	0.6391204	No	
row_24	KPNB1	5984	0.1554882973432541	0.6418127	No	
row_25	ORC3	6946	0.08941733092069626	0.59452945	No	
row_26	ORC2	9631	-0.05741224065423012	0.4544119	No	
row_27	ORC4	11337	-0.15676990151405334	0.3704438	No	
row_28	H2AC20	12188	-0.2148772031068802	0.33431202	No	
row_29	KPNA1	12375	-0.22833749651908875	0.33400342	No	
row_30	ORC5	12646	-0.24842950701713562	0.33007628	No	
