NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHC1	2849	0.5325199961662292	-0.1145293	No	
row_1	HRAS	2978	0.5067039728164673	-0.086439714	No	
row_2	SOS1	3458	0.42085421085357666	-0.08288677	No	
row_3	CTNNB1	5554	0.18765060603618622	-0.18114461	No	
row_4	CASP9	7575	0.05096612125635147	-0.28483197	No	
row_5	GHR	8129	0.020844869315624237	-0.3127432	No	
row_6	BAD	8388	0.007620650809258223	-0.3259099	No	
row_7	MUC2	10392	-0.0998038500547409	-0.42533305	No	
row_8	PIK3R1	10707	-0.11711300164461136	-0.43393397	No	
row_9	GRB2	11167	-0.14554700255393982	-0.4482722	No	
row_10	MAPK3	11737	-0.1827605962753296	-0.465886	No	
row_11	MAPK1	12059	-0.2052585929632187	-0.46879032	No	
row_12	EGFR	12658	-0.24892529845237732	-0.4833882	No	
row_13	APAF1	16112	-0.6435090899467468	-0.6223295	Yes	
row_14	TFF2	17284	-0.9048246145248413	-0.62218195	Yes	
row_15	ITGB1	18270	-1.4618899822235107	-0.5738147	Yes	
row_16	ERBB2	18718	-2.367002010345459	-0.43458813	Yes	
row_17	TFF1	18793	-2.9987919330596924	-0.23207417	Yes	
row_18	TFF3	18829	-3.4235639572143555	0.0017512927	Yes	
