NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAFAH1B1	7973	0.0290687195956707	-0.4193719	No	
row_1	CTNNA2	8198	0.0171694103628397	-0.42910424	No	
row_2	SHANK3	8607	-0.0035695501137524843	-0.45030367	No	
row_3	FBXW11	9696	-0.06086054816842079	-0.50039965	No	
row_4	PTEN	11283	-0.15331989526748657	-0.56532764	No	
row_5	MKKS	11928	-0.19694480299949646	-0.5748084	No	
row_6	NF1	12137	-0.2108485996723175	-0.5594139	No	
row_7	FZD6	13358	-0.30650100111961365	-0.58572197	No	
row_8	SPEF2	15776	-0.5884014964103699	-0.6402014	Yes	
row_9	VPS51	15799	-0.5915166735649109	-0.5672212	Yes	
row_10	SMO	16327	-0.6842706203460693	-0.50940746	Yes	
row_11	FZD3	17046	-0.8339331150054932	-0.442967	Yes	
row_12	BBS4	17174	-0.869312584400177	-0.34073558	Yes	
row_13	SLIT1	18380	-1.5753870010375977	-0.20719111	Yes	
row_14	BBS2	18560	-1.856469988822937	0.016022962	Yes	
