NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL5	7	6.028284072875977	0.16845402	Yes	
row_1	JAK2	27	5.0031938552856445	0.30756262	Yes	
row_2	CCL22	74	4.050038814544678	0.418544	Yes	
row_3	CXCL11	242	2.6305088996887207	0.48334602	Yes	
row_4	CXCR4	496	1.8552919626235962	0.52187145	Yes	
row_5	SH2B3	721	1.5079580545425415	0.5522093	Yes	
row_6	ENTREP1	764	1.4475589990615845	0.5905191	Yes	
row_7	CX3CL1	986	1.2588599920272827	0.6140401	Yes	
row_8	STK39	1047	1.2148849964141846	0.6448779	Yes	
row_9	WNK1	1166	1.1249289512634277	0.67011696	Yes	
row_10	THPO	1439	0.9753894209861755	0.6829914	Yes	
row_11	ACKR3	1700	0.8529757857322693	0.69307464	Yes	
row_12	CXCL10	1995	0.7533314824104309	0.6985621	Yes	
row_13	PTK2B	2145	0.7087411284446716	0.7104995	Yes	
row_14	GPR35	3469	0.4180659055709839	0.65196246	No	
row_15	WBP1L	3842	0.36600738763809204	0.6424612	No	
row_16	FOXC1	4417	0.2918316125869751	0.6201573	No	
row_17	CCL2	4636	0.2710598111152649	0.6161737	No	
row_18	RBM15	4676	0.2660863995552063	0.62155485	No	
row_19	CIB1	4956	0.23842549324035645	0.61341846	No	
row_20	LYN	5339	0.20552079379558563	0.59889174	No	
row_21	STAT5A	5398	0.20023150742053986	0.6014198	No	
row_22	MPL	9053	-0.025335250422358513	0.40811852	No	
row_23	OXSR1	11092	-0.14066019654273987	0.30384922	No	
row_24	XCL1	14475	-0.4173372983932495	0.13596815	No	
row_25	GPR75	15695	-0.5757796764373779	0.08736984	No	
row_26	CCR1	16346	-0.6874681711196899	0.07211074	No	
row_27	TFF2	17284	-0.9048246145248413	0.047700446	No	
row_28	CXCL12	18095	-1.2865660190582275	0.04072417	No	
