NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AJ	327	2.283302068710327	0.074776486	Yes	
row_1	H2BC21	375	2.1279470920562744	0.15815134	Yes	
row_2	H2BC8	437	1.9892040491104126	0.23518404	Yes	
row_3	H3C8	470	1.9232139587402344	0.31109366	Yes	
row_4	UNG	532	1.7743860483169556	0.37945765	Yes	
row_5	H2BC9	625	1.6293359994888306	0.44032228	Yes	
row_6	H2AC7	666	1.5878369808197021	0.50227344	Yes	
row_7	H2BC5	701	1.5312310457229614	0.5622589	Yes	
row_8	H2AC6	859	1.3795839548110962	0.60959375	Yes	
row_9	H2BC13	1077	1.1881710290908813	0.64601845	Yes	
row_10	H2AC8	1617	0.8889248967170715	0.6532699	Yes	
row_11	H2BC12	1633	0.8782466053962708	0.6879139	Yes	
row_12	H4C9	1735	0.8393301963806152	0.716421	Yes	
row_13	H2BC11	2292	0.6673431992530823	0.7138281	Yes	
row_14	H2BC14	2315	0.6593583822250366	0.73926747	Yes	
row_15	H2BC26	2772	0.5509790778160095	0.7372887	No	
row_16	H2AX	3423	0.4252420961856842	0.7199349	No	
row_17	H2BC15	5192	0.21767069399356842	0.6348409	No	
row_18	H2AC14	5270	0.21105709671974182	0.6392693	No	
row_19	H2BC17	5762	0.17050080001354218	0.6200784	No	
row_20	H3-3B	5861	0.164022296667099	0.62149364	No	
row_21	H2AZ2	5911	0.16095690429210663	0.625387	No	
row_22	UHRF1	8049	0.024862179532647133	0.5129193	No	
row_23	KDM6A	8308	0.010730749927461147	0.49965295	No	
row_24	KDM5A	9853	-0.06944084167480469	0.4204714	No	
row_25	KDM5B	11771	-0.18529139459133148	0.32615918	No	
row_26	KDM6B	11843	-0.19105300307273865	0.33009887	No	
row_27	H2AC20	12188	-0.2148772031068802	0.32050416	No	
row_28	TET3	14067	-0.3755582869052887	0.23594074	No	
row_29	METTL23	14861	-0.4612323045730591	0.21244621	No	
