NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AJ	327	2.283302068710327	0.07316163	Yes	
row_1	H2BC21	375	2.1279470920562744	0.15503442	Yes	
row_2	H2BC8	437	1.9892040491104126	0.23066278	Yes	
row_3	H2BC9	625	1.6293359994888306	0.28533128	Yes	
row_4	H2AC7	666	1.5878369808197021	0.3461615	Yes	
row_5	H2BC5	701	1.5312310457229614	0.4050661	Yes	
row_6	NEIL2	705	1.5245670080184937	0.4653529	Yes	
row_7	H2AC6	859	1.3795839548110962	0.5119249	Yes	
row_8	H2BC13	1077	1.1881710290908813	0.5475088	Yes	
row_9	H2AC8	1617	0.8889248967170715	0.55412686	Yes	
row_10	H2BC12	1633	0.8782466053962708	0.588151	Yes	
row_11	H4C9	1735	0.8393301963806152	0.6160647	Yes	
row_12	MBD4	2071	0.730160117149353	0.6272224	Yes	
row_13	H2BC11	2292	0.6673431992530823	0.6419972	Yes	
row_14	H2BC14	2315	0.6593583822250366	0.666971	Yes	
row_15	NEIL3	2690	0.5682829022407532	0.66963935	Yes	
row_16	H2BC26	2772	0.5509790778160095	0.6871827	Yes	
row_17	H2AX	3423	0.4252420961856842	0.6695216	No	
row_18	NEIL1	4155	0.32559138536453247	0.6436075	No	
row_19	H2BC15	5192	0.21767069399356842	0.59721625	No	
row_20	OGG1	5200	0.21698220074176788	0.60544735	No	
row_21	H2AC14	5270	0.21105709671974182	0.6101508	No	
row_22	H2BC17	5762	0.17050080001354218	0.590834	No	
row_23	H2AZ2	5911	0.16095690429210663	0.58935547	No	
row_24	TERF2IP	9102	-0.02811441943049431	0.4210506	No	
row_25	TERF2	9124	-0.02942243032157421	0.42110187	No	
row_26	POT1	10407	-0.10020949691534042	0.35698852	No	
row_27	NTHL1	11054	-0.13812710344791412	0.3281562	No	
row_28	TINF2	11666	-0.17749939858913422	0.30274376	No	
row_29	H2AC20	12188	-0.2148772031068802	0.28359315	No	
row_30	TERF1	12571	-0.24213969707489014	0.27290565	No	
row_31	TDG	12657	-0.248922199010849	0.27826062	No	
row_32	SMUG1	13634	-0.3294554054737091	0.23948795	No	
row_33	ACD	17450	-0.9613471031188965	0.07499048	No	
