NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AJ	327	2.283302068710327	0.072008274	Yes	
row_1	H2BC21	375	2.1279470920562744	0.15280618	Yes	
row_2	H2BC8	437	1.9892040491104126	0.22742975	Yes	
row_3	H3C8	470	1.9232139587402344	0.30101043	Yes	
row_4	H2BC9	625	1.6293359994888306	0.35660854	Yes	
row_5	H2AC7	666	1.5878369808197021	0.4166367	Yes	
row_6	H2BC5	701	1.5312310457229614	0.47476783	Yes	
row_7	H2AC6	859	1.3795839548110962	0.52043056	Yes	
row_8	H2BC13	1077	1.1881710290908813	0.55541426	Yes	
row_9	H2AC8	1617	0.8889248967170715	0.56158334	Yes	
row_10	H2BC12	1633	0.8782466053962708	0.5951638	Yes	
row_11	H4C9	1735	0.8393301963806152	0.6226536	Yes	
row_12	CCNB1	1755	0.8322564959526062	0.6542215	Yes	
row_13	H2BC11	2292	0.6673431992530823	0.6518765	Yes	
row_14	H2BC14	2315	0.6593583822250366	0.6765173	Yes	
row_15	CDK1	2548	0.5982019901275635	0.6876112	Yes	
row_16	H2BC26	2772	0.5509790778160095	0.6973347	Yes	
row_17	H2AX	3423	0.4252420961856842	0.67945874	No	
row_18	SMC4	3931	0.35317400097846985	0.66635644	No	
row_19	H2BC15	5192	0.21767069399356842	0.6079587	No	
row_20	H2AC14	5270	0.21105709671974182	0.6121306	No	
row_21	KMT5A	5656	0.180076003074646	0.5987321	No	
row_22	H2BC17	5762	0.17050080001354218	0.5998295	No	
row_23	PLK1	5835	0.16532669961452484	0.602477	No	
row_24	H3-3B	5861	0.164022296667099	0.6075696	No	
row_25	H2AZ2	5911	0.16095690429210663	0.6112675	No	
row_26	NCAPG2	6578	0.11321189999580383	0.580328	No	
row_27	NCAPD3	8338	0.009624858386814594	0.48728502	No	
row_28	NCAPH2	9116	-0.028763199225068092	0.44714475	No	
row_29	SMC2	9675	-0.059773169457912445	0.4198493	No	
row_30	H2AC20	12188	-0.2148772031068802	0.294849	No	
row_31	SET	14687	-0.4418605864048004	0.17947704	No	
row_32	MCPH1	15227	-0.5060012936592102	0.17065734	No	
row_33	RB1	15661	-0.5708031058311462	0.1700038	No	
