NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	QARS1	2333	0.6545060276985168	-0.07915583	No	
row_1	HARS1	3761	0.37525680661201477	-0.12928423	No	
row_2	RARS1	6281	0.1330154985189438	-0.25391528	No	
row_3	FARSA	7501	0.05553046986460686	-0.31483042	No	
row_4	FARSB	8992	-0.022921910509467125	-0.39235678	No	
row_5	EEF1E1	10611	-0.11104699969291687	-0.47066128	No	
row_6	KARS1	13487	-0.3162311017513275	-0.6016812	No	
row_7	EPRS1	14345	-0.4024864137172699	-0.61969423	Yes	
row_8	AIMP2	14654	-0.43748149275779724	-0.60617656	Yes	
row_9	VARS1	15207	-0.5027723908424377	-0.60115325	Yes	
row_10	SARS1	15211	-0.503466010093689	-0.56694096	Yes	
row_11	DARS1	15426	-0.5348907709121704	-0.5417835	Yes	
row_12	GARS1	15767	-0.5865867137908936	-0.519785	Yes	
row_13	IARS1	16020	-0.6285498738288879	-0.4902505	Yes	
row_14	TARS1	16060	-0.6353422999382019	-0.44894597	Yes	
row_15	AIMP1	16229	-0.6663190722465515	-0.41237414	Yes	
row_16	LARS1	16341	-0.686751127243042	-0.3713818	Yes	
row_17	AARS1	16556	-0.7296767234802246	-0.3329263	Yes	
row_18	PPA1	16981	-0.8222727179527283	-0.2992964	Yes	
row_19	WARS1	17291	-0.9068468809127808	-0.25378826	Yes	
row_20	YARS1	17493	-0.9832460880279541	-0.19733158	Yes	
row_21	NARS1	17654	-1.0426360368728638	-0.13464402	Yes	
row_22	MARS1	18173	-1.3581420183181763	-0.06942005	Yes	
row_23	CARS1	18356	-1.5517840385437012	0.026859174	Yes	
