NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL5	7	6.028284072875977	0.18517795	Yes	
row_1	LGALS3	66	4.122018814086914	0.30897304	Yes	
row_2	CCL22	74	4.050038814544678	0.4332609	Yes	
row_3	S100A8	386	2.108834981918335	0.48165518	Yes	
row_4	S100A9	602	1.6644610166549683	0.5214697	Yes	
row_5	EDN2	658	1.5946320295333862	0.56763154	Yes	
row_6	CCL28	727	1.4974650144577026	0.6101122	Yes	
row_7	CX3CL1	986	1.2588599920272827	0.6351589	Yes	
row_8	ITGB2	1336	1.0323460102081299	0.6484011	Yes	
row_9	PIK3CD	1419	0.9857670068740845	0.67438835	Yes	
row_10	PIP5K1C	1990	0.7544742226600647	0.6673417	Yes	
row_11	CXCL10	1995	0.7533314824104309	0.69031674	Yes	
row_12	FCER1G	3202	0.4655469059944153	0.6406028	No	
row_13	CKLF	3372	0.43427491188049316	0.6449952	No	
row_14	SYK	3589	0.3991571068763733	0.6458107	No	
row_15	SCG2	3774	0.3739410936832428	0.64754945	No	
row_16	ADGRE2	4194	0.32118460536003113	0.63518494	No	
row_17	CXCL8	4590	0.27461379766464233	0.6226615	No	
row_18	CCL2	4636	0.2710598111152649	0.62861496	No	
row_19	PDE4B	4674	0.26641198992729187	0.63485026	No	
row_20	ANXA1	5766	0.17003080248832703	0.58214736	No	
row_21	GBF1	6175	0.1404051035642624	0.56480265	No	
row_22	SRP54	7940	0.030475469306111336	0.47206533	No	
row_23	BSG	8954	-0.021073779091238976	0.4189197	No	
row_24	CXCL3	9941	-0.07368843257427216	0.36882734	No	
row_25	TGFB2	10844	-0.12523740530014038	0.3247824	No	
row_26	PPIA	11414	-0.16156120598316193	0.2995391	No	
row_27	PIK3CG	14027	-0.37056151032447815	0.17223746	No	
row_28	XCL1	14475	-0.4173372983932495	0.16134559	No	
row_29	CXADR	16368	-0.6901792883872986	0.082116574	No	
row_30	PPIB	16523	-0.7228624820709229	0.096188165	No	
row_31	PIKFYVE	17298	-0.9086710214614868	0.08305448	No	
