NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL5	7	6.028284072875977	0.07856207	Yes	
row_1	HLA-DQB1	60	4.220595836639404	0.1310573	Yes	
row_2	CCL22	74	4.050038814544678	0.18339647	Yes	
row_3	IFNB1	75	4.033094882965088	0.2362062	Yes	
row_4	BCL2	119	3.436131000518799	0.27890894	Yes	
row_5	RGCC	193	2.8351309299468994	0.31214425	Yes	
row_6	IGHE	231	2.646764039993286	0.3448305	Yes	
row_7	CFD	335	2.2395238876342773	0.36866903	Yes	
row_8	H2BC21	375	2.1279470920562744	0.39445534	Yes	
row_9	BST1	424	2.0164220333099365	0.41830197	Yes	
row_10	H2BC8	437	1.9892040491104126	0.44370964	Yes	
row_11	C3	524	1.7852569818496704	0.4625054	Yes	
row_12	S100A9	602	1.6644610166549683	0.4801988	Yes	
row_13	CCL28	727	1.4974650144577026	0.49320224	Yes	
row_14	HLA-DRB1	856	1.3803269863128662	0.5044588	Yes	
row_15	HLA-A	898	1.3362339735031128	0.5197718	Yes	
row_16	CX3CL1	986	1.2588599920272827	0.53162163	Yes	
row_17	ALOX5	1023	1.2327549457550049	0.545846	Yes	
row_18	TRAF3IP2	1028	1.2253899574279785	0.5616783	Yes	
row_19	IGHG4	1046	1.2151639461517334	0.5766843	Yes	
row_20	TF	1586	0.9058511257171631	0.5598372	Yes	
row_21	H2BC12	1633	0.8782466053962708	0.568887	Yes	
row_22	FCN2	1677	0.8618530035018921	0.5778819	Yes	
row_23	COLEC10	2114	0.7179772853851318	0.5640608	No	
row_24	H2BC11	2292	0.6673431992530823	0.5633716	No	
row_25	CR2	2637	0.5780044198036194	0.5526178	No	
row_26	C2	2895	0.5239139199256897	0.5457896	No	
row_27	IGHG3	2993	0.5033292770385742	0.5472138	No	
row_28	IL7	3209	0.4637947082519531	0.54183537	No	
row_29	CFHR4	3215	0.46269920468330383	0.5476277	No	
row_30	CFB	3367	0.43504178524017334	0.5452815	No	
row_31	SLC11A1	3445	0.4228565990924835	0.5467173	No	
row_32	IGHG2	3451	0.42221349477767944	0.5519794	No	
row_33	ROMO1	3608	0.39617231488227844	0.54885805	No	
row_34	FCN3	3638	0.39339348673820496	0.55246454	No	
row_35	S100A7	3873	0.36110278964042664	0.5447295	No	
row_36	PDCD1	3951	0.35079720616340637	0.5452217	No	
row_37	CFP	4117	0.3306260108947754	0.54076266	No	
row_38	CXCL8	4590	0.27461379766464233	0.5192186	No	
row_39	CCL2	4636	0.2710598111152649	0.52037114	No	
row_40	F2	4673	0.26641929149627686	0.5219422	No	
row_41	WFDC3	4749	0.25921350717544556	0.5213417	No	
row_42	PSMB10	4939	0.2400389015674591	0.5144182	No	
row_43	RPS19	5154	0.22155049443244934	0.50592107	No	
row_44	MUC7	5285	0.21018749475479126	0.50174916	No	
row_45	JCHAIN	5299	0.2088768035173416	0.5037918	No	
row_46	FCMR	5592	0.18489809334278107	0.4906603	No	
row_47	GPI	5951	0.15743809938430786	0.4736539	No	
row_48	MASP1	6413	0.12397059798240662	0.45072326	No	
row_49	PGLYRP4	6584	0.11273179948329926	0.44314477	No	
row_50	ZP3	7910	0.03229232132434845	0.37299505	No	
row_51	CFHR5	8682	-0.0073000239208340645	0.33202538	No	
row_52	C4A	8843	-0.015580889768898487	0.32370743	No	
row_53	CFH	8852	-0.015911320224404335	0.3234897	No	
row_54	C1R	8970	-0.022172430530190468	0.31754833	No	
row_55	MASP2	9369	-0.042916178703308105	0.29691187	No	
row_56	MEF2C	9706	-0.06156250089406967	0.27982184	No	
row_57	CLU	9912	-0.07238128036260605	0.26985082	No	
row_58	LYZ	10308	-0.0954994335770607	0.2500627	No	
row_59	SLPI	11051	-0.13807299733161926	0.21235	No	
row_60	YTHDF2	11105	-0.1417255997657776	0.21138287	No	
row_61	FAU	11333	-0.15659409761428833	0.20134278	No	
row_62	WFDC2	11568	-0.1709361970424652	0.19111764	No	
row_63	ST6GAL1	12028	-0.2030290961265564	0.16932872	No	
row_64	HLA-E	12105	-0.208461195230484	0.1680104	No	
row_65	GAPDH	12127	-0.21025849878787994	0.16964503	No	
row_66	RPL39	12279	-0.22095580399036407	0.16449563	No	
row_67	CD83	12527	-0.23940180242061615	0.1544746	No	
row_68	TNFRSF21	12644	-0.24832740426063538	0.15154779	No	
row_69	IL36RN	12763	-0.25828731060028076	0.14864488	No	
row_70	CD81	13004	-0.27823731303215027	0.13950518	No	
row_71	TFEB	13292	-0.3007844090461731	0.12815739	No	
row_72	COLEC11	13354	-0.3056822121143341	0.12891103	No	
row_73	BLNK	14040	-0.37195828557014465	0.0972968	No	
row_74	CST9	14089	-0.37785589694976807	0.09968789	No	
row_75	XCL1	14475	-0.4173372983932495	0.084646545	No	
row_76	POU2F2	14901	-0.46512290835380554	0.06810042	No	
row_77	HMGN2	15004	-0.4787765145301819	0.06893682	No	
row_78	CFHR3	15724	-0.5793123245239258	0.038226776	No	
row_79	RARRES2	15946	-0.6163222789764404	0.034525987	No	
row_80	RPL30	16056	-0.6340525150299072	0.037022736	No	
row_81	TFE3	16198	-0.6599704027175903	0.038154464	No	
row_82	PRSS3	16252	-0.6712995767593384	0.04412162	No	
row_83	ANG	16777	-0.7771524786949158	0.026388273	No	
row_84	CAMP	17923	-1.1778370141983032	-0.019174373	No	
row_85	FAM3A	17974	-1.2123990058898926	-0.0059622233	No	
row_86	PLA2G6	18423	-1.6292749643325806	-0.008489864	No	
row_87	RNASE4	18734	-2.430027961730957	0.00681783	No	
