NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTGES	15	5.5240888595581055	0.18981872	Yes	
row_1	GGT1	95	3.7430388927459717	0.31478155	Yes	
row_2	CD74	228	2.6715619564056396	0.39995724	Yes	
row_3	MGST3	315	2.357227087020874	0.47672924	Yes	
row_4	GGT6	573	1.7077950239181519	0.52201104	Yes	
row_5	EDN2	658	1.5946320295333862	0.572575	Yes	
row_6	FADS1	713	1.5176680088043213	0.62207633	Yes	
row_7	ALOX5	1023	1.2327549457550049	0.64820486	Yes	
row_8	NLRC4	1331	1.0353959798812866	0.66762954	Yes	
row_9	PRXL2B	1522	0.9341521263122559	0.68977386	Yes	
row_10	MGST2	2381	0.6439841985702515	0.66643214	No	
row_11	CYP2C8	4816	0.2526909112930298	0.5458966	No	
row_12	PTGES2	6334	0.12954020500183105	0.46980786	No	
row_13	PTGS2	7130	0.07753641903400421	0.43026572	No	
row_14	PYCARD	7159	0.07628677785396576	0.43141118	No	
row_15	PTGES3	8585	-0.0025689098984003067	0.35582674	No	
row_16	GGTA1	8661	-0.006284721195697784	0.3520608	No	
row_17	PTGS1	8768	-0.011878419667482376	0.34684166	No	
row_18	GGT7	9608	-0.05574055016040802	0.30421087	No	
row_19	CASP1	10169	-0.08763349801301956	0.27749655	No	
row_20	CTHRC1	10344	-0.09771484136581421	0.27162823	No	
row_21	AKR1C3	11024	-0.13613949716091156	0.24026833	No	
row_22	TBXAS1	11641	-0.17575380206108093	0.21362092	No	
row_23	PNPLA8	12152	-0.21237879991531372	0.1938663	No	
row_24	MIF	12348	-0.22642120718955994	0.19132397	No	
row_25	LTA4H	12439	-0.23275770246982574	0.19457619	No	
row_26	DAGLB	13441	-0.31288790702819824	0.15221573	No	
row_27	PTGIS	13791	-0.3447471857070923	0.14557837	No	
row_28	GGT5	13907	-0.3585622012615204	0.15184404	No	
row_29	CBR1	14570	-0.42791539430618286	0.13145497	No	
row_30	NAIP	17851	-1.1381770372390747	-0.0034517518	No	
row_31	EDN1	18435	-1.654392957687378	0.022675462	No	
