NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AJ	327	2.283302068710327	0.07941109	Yes	
row_1	H2BC21	375	2.1279470920562744	0.16711321	Yes	
row_2	H2BC8	437	1.9892040491104126	0.24819052	Yes	
row_3	H2BC9	625	1.6293359994888306	0.30731946	Yes	
row_4	H2AC7	666	1.5878369808197021	0.37249938	Yes	
row_5	H2BC5	701	1.5312310457229614	0.43559864	Yes	
row_6	H2AC6	859	1.3795839548110962	0.485735	Yes	
row_7	H2BC13	1077	1.1881710290908813	0.52457	Yes	
row_8	H2AC8	1617	0.8889248967170715	0.53361297	Yes	
row_9	H2BC12	1633	0.8782466053962708	0.570043	Yes	
row_10	H4C9	1735	0.8393301963806152	0.6002544	Yes	
row_11	POLR2A	2058	0.7344195246696472	0.6142773	Yes	
row_12	H2BC11	2292	0.6673431992530823	0.6301854	Yes	
row_13	H2BC14	2315	0.6593583822250366	0.65696543	Yes	
row_14	H2BC26	2772	0.5509790778160095	0.6560933	No	
row_15	H2AX	3423	0.4252420961856842	0.63958436	No	
row_16	POLR2D	4264	0.31097811460494995	0.6081374	No	
row_17	POLR2K	4704	0.2634628117084503	0.5959813	No	
row_18	H2BC15	5192	0.21767069399356842	0.57933396	No	
row_19	H2AC14	5270	0.21105709671974182	0.58418924	No	
row_20	POLR2B	5682	0.1776657998561859	0.569884	No	
row_21	H2BC17	5762	0.17050080001354218	0.57291394	No	
row_22	H3-3B	5861	0.164022296667099	0.5746598	No	
row_23	H2AZ2	5911	0.16095690429210663	0.5788791	No	
row_24	POLR2E	5914	0.1606242060661316	0.58558136	No	
row_25	POLR2I	7735	0.041241321712732315	0.49063414	No	
row_26	DAXX	7854	0.03491752967238426	0.48584497	No	
row_27	POLR2C	7855	0.034880850464105606	0.4873235	No	
row_28	POLR2F	9011	-0.023625940084457397	0.4269606	No	
row_29	TERF2IP	9102	-0.02811441943049431	0.42337066	No	
row_30	TERF2	9124	-0.02942243032157421	0.42350212	No	
row_31	POLR2L	9391	-0.044047459959983826	0.4112368	No	
row_32	POLR2G	10236	-0.09129246324300766	0.37026533	No	
row_33	POLR2J	10377	-0.0989801436662674	0.36702278	No	
row_34	POT1	10407	-0.10020949691534042	0.36972973	No	
row_35	ATRX	10767	-0.12066809833049774	0.35577115	No	
row_36	POLR2H	11241	-0.1509779989719391	0.33704063	No	
row_37	TINF2	11666	-0.17749939858913422	0.32203764	No	
row_38	H2AC20	12188	-0.2148772031068802	0.30346546	No	
row_39	TERF1	12571	-0.24213969707489014	0.29343385	No	
row_40	ACD	17450	-0.9613471031188965	0.075018525	No	
