NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZC3H12A	5818	0.1667453944683075	-0.29227743	No	
row_1	DDX5	6502	0.11899810284376144	-0.3167797	No	
row_2	DDX17	6943	0.08957268297672272	-0.3312905	No	
row_3	PARN	7168	0.07588370144367218	-0.33569	No	
row_4	SND1	7209	0.07369466871023178	-0.3305416	No	
row_5	TUT7	7760	0.039793118834495544	-0.35580096	No	
row_6	XPO5	8358	0.009058108553290367	-0.38658673	No	
row_7	ELOB	8859	-0.01639533042907715	-0.41150135	No	
row_8	ZSWIM8	9490	-0.04893333837389946	-0.44010404	No	
row_9	KHSRP	9955	-0.07434024661779404	-0.4573913	No	
row_10	ELOC	10818	-0.12320210039615631	-0.49097732	No	
row_11	DICER1	13245	-0.2969602048397064	-0.5904126	No	
row_12	DIS3L2	14786	-0.4527756869792938	-0.62745947	No	
row_13	LIN28B	16299	-0.6799092292785645	-0.64061075	Yes	
row_14	TUT4	16623	-0.7429832220077515	-0.5844453	Yes	
row_15	TENT4B	17315	-0.9145603179931641	-0.53087914	Yes	
row_16	BCDIN3D	17399	-0.943638026714325	-0.4421809	Yes	
row_17	LIN28A	18861	-5.268020153045654	5.2980366E-5	Yes	
