NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRPPA	1155	1.134153962135315	0.03350947	No	
row_1	DPM3	5283	0.2103388011455536	-0.16790631	No	
row_2	TMTC3	6063	0.14926840364933014	-0.19676684	No	
row_3	POMT1	6451	0.12212920188903809	-0.20709455	No	
row_4	TMTC1	6977	0.0875842422246933	-0.22763261	No	
row_5	DOLK	7462	0.05725438892841339	-0.24853018	No	
row_6	LARGE2	7914	0.03195210173726082	-0.2697915	No	
row_7	FKRP	8212	0.016254570335149765	-0.284193	No	
row_8	POMT2	9389	-0.043945688754320145	-0.3429236	No	
row_9	DPM1	9454	-0.04753002151846886	-0.3423469	No	
row_10	B4GAT1	10648	-0.1135404035449028	-0.39616248	No	
row_11	DPM2	10833	-0.12454299628734589	-0.39551634	No	
row_12	FKTN	11592	-0.17281509935855865	-0.42129436	No	
row_13	POMGNT2	12996	-0.2776224911212921	-0.47253856	No	
row_14	RXYLT1	16980	-0.8220369815826416	-0.6151839	Yes	
row_15	TMTC4	18551	-1.8366130590438843	-0.5449807	Yes	
row_16	TMTC2	18678	-2.217082977294922	-0.36635065	Yes	
row_17	LARGE1	18854	-4.499117851257324	4.2453417E-4	Yes	
