NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRPPA	1155	1.134153962135315	0.033968586	No	
row_1	DPM3	5283	0.2103388011455536	-0.16735104	No	
row_2	TMTC3	6063	0.14926840364933014	-0.19614938	No	
row_3	POMT1	6451	0.12212920188903809	-0.2064269	No	
row_4	TMTC1	6977	0.0875842422246933	-0.2269283	No	
row_5	LARGE2	7914	0.03195210173726082	-0.27391043	No	
row_6	FKRP	8212	0.016254570335149765	-0.28830454	No	
row_7	POMT2	9389	-0.043945688754320145	-0.34701416	No	
row_8	DPM1	9454	-0.04753002151846886	-0.34641817	No	
row_9	B4GAT1	10648	-0.1135404035449028	-0.40018475	No	
row_10	DPM2	10833	-0.12454299628734589	-0.39948806	No	
row_11	FKTN	11592	-0.17281509935855865	-0.42519447	No	
row_12	POMGNT2	12996	-0.2776224911212921	-0.47632316	No	
row_13	RXYLT1	16980	-0.8220369815826416	-0.61862683	Yes	
row_14	TMTC4	18551	-1.8366130590438843	-0.54768103	Yes	
row_15	TMTC2	18678	-2.217082977294922	-0.36815947	Yes	
row_16	LARGE1	18854	-4.499117851257324	4.245423E-4	Yes	
