NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AJ	327	2.283302068710327	0.06945734	Yes	
row_1	H2BC21	375	2.1279470920562744	0.14787713	Yes	
row_2	H2BC8	437	1.9892040491104126	0.2202777	Yes	
row_3	H3C8	470	1.9232139587402344	0.29170907	Yes	
row_4	H2BC9	625	1.6293359994888306	0.3454866	Yes	
row_5	MPHOSPH8	661	1.5915440320968628	0.4041468	Yes	
row_6	H2AC7	666	1.5878369808197021	0.46431234	Yes	
row_7	H2BC5	701	1.5312310457229614	0.5207322	Yes	
row_8	H2AC6	859	1.3795839548110962	0.56485355	Yes	
row_9	H2BC13	1077	1.1881710290908813	0.59850997	Yes	
row_10	H2AC8	1617	0.8889248967170715	0.60368705	Yes	
row_11	H2BC12	1633	0.8782466053962708	0.636286	Yes	
row_12	H4C9	1735	0.8393301963806152	0.66283804	Yes	
row_13	H2BC11	2292	0.6673431992530823	0.65868664	Yes	
row_14	H2BC14	2315	0.6593583822250366	0.68259054	Yes	
row_15	H2BC26	2772	0.5509790778160095	0.67932504	No	
row_16	H2AX	3423	0.4252420961856842	0.66097564	No	
row_17	MTREX	3605	0.3965601921081543	0.66644263	No	
row_18	PPHLN1	4515	0.2815001904964447	0.6288727	No	
row_19	H2BC15	5192	0.21767069399356842	0.6012495	No	
row_20	H2AC14	5270	0.21105709671974182	0.6051858	No	
row_21	H2BC17	5762	0.17050080001354218	0.58559376	No	
row_22	H3-3B	5861	0.164022296667099	0.5866263	No	
row_23	H2AZ2	5911	0.16095690429210663	0.5901445	No	
row_24	ZCCHC8	8188	0.017687780782580376	0.46994612	No	
row_25	SETDB1	9812	-0.06736189872026443	0.38631535	No	
row_26	TASOR	9862	-0.07012142241001129	0.38637948	No	
row_27	H2AC20	12188	-0.2148772031068802	0.27107707	No	
row_28	RBM7	12788	-0.26061850786209106	0.24917623	No	
row_29	ATF7IP	13681	-0.33325979113578796	0.21447732	No	
row_30	EHMT2	14452	-0.41515880823135376	0.18937166	No	
row_31	MORC2	15297	-0.5149518847465515	0.16413076	No	
row_32	EHMT1	16209	-0.6611812710762024	0.14089213	No	
