NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL5	7	6.028284072875977	0.20286606	Yes	
row_1	JAK2	27	5.0031938552856445	0.3705351	Yes	
row_2	RDX	109	3.585721015930176	0.48712367	Yes	
row_3	PLPP3	133	3.2349720001220703	0.5949665	Yes	
row_4	CEACAM1	485	1.885666012763977	0.6399043	Yes	
row_5	SH2B3	721	1.5079580545425415	0.6782669	Yes	
row_6	EMILIN1	836	1.3935279846191406	0.7191958	Yes	
row_7	EMILIN2	1430	0.9799318909645081	0.72074926	Yes	
row_8	CD9	3135	0.47850948572158813	0.6464119	No	
row_9	SYK	3589	0.3991571068763733	0.6358181	No	
row_10	F11R	3618	0.39513298869132996	0.64765304	No	
row_11	PLAUR	3831	0.3666589856147766	0.64875895	No	
row_12	ZNF703	4774	0.25643619894981384	0.6073912	No	
row_13	LYN	5339	0.20552079379558563	0.58437586	No	
row_14	CTNNB1	5554	0.18765060603618622	0.57934046	No	
row_15	ALOX12	5912	0.16083340346813202	0.5658087	No	
row_16	IL6ST	6788	0.09948792308568954	0.5227068	No	
row_17	MFSD2B	8048	0.024925360456109047	0.4567035	No	
row_18	SERPINE2	8235	0.015154260210692883	0.44733918	No	
row_19	PRKCA	8849	-0.01578192040324211	0.41532546	No	
row_20	ANK3	11354	-0.15786050260066986	0.28770357	No	
row_21	JAK1	11869	-0.19292010366916656	0.26691806	No	
row_22	GP6	12995	-0.27738749980926514	0.2165407	No	
row_23	C1QTNF1	14863	-0.4614337980747223	0.1329735	No	
row_24	TMX1	14977	-0.4757832884788513	0.14301461	No	
row_25	PRKCQ	14981	-0.4761638939380646	0.15890874	No	
row_26	PRKCD	15818	-0.5947034955024719	0.13457313	No	
row_27	PRKG1	16884	-0.8004940748214722	0.105017334	No	
