NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZC3H10	2844	0.5333275198936462	-0.108555876	No	
row_1	RIPK1	4666	0.2666076123714447	-0.18401325	No	
row_2	TGFB1	5820	0.16667219996452332	-0.23196015	No	
row_3	PUM2	5909	0.16107089817523956	-0.22383243	No	
row_4	ZFP36	6595	0.11167539656162262	-0.2513123	No	
row_5	FXR1	8671	-0.006741497199982405	-0.36089712	No	
row_6	TIAL1	8749	-0.01072848029434681	-0.3641311	No	
row_7	ELOB	8859	-0.01639533042907715	-0.36861303	No	
row_8	ZSWIM8	9490	-0.04893333837389946	-0.3981592	No	
row_9	PUM1	10216	-0.09043355286121368	-0.42944965	No	
row_10	STAT3	10305	-0.09537158906459808	-0.42654207	No	
row_11	ELOC	10818	-0.12320210039615631	-0.44392493	No	
row_12	BMP4	14920	-0.46764621138572693	-0.62440866	Yes	
row_13	DGCR8	15380	-0.5288400053977966	-0.6067489	Yes	
row_14	ELAVL1	16294	-0.6794837713241577	-0.6012135	Yes	
row_15	LIN28B	16299	-0.6799092292785645	-0.54740363	Yes	
row_16	BCDIN3D	17399	-0.943638026714325	-0.530751	Yes	
row_17	FMR1	17772	-1.1001570224761963	-0.46308014	Yes	
row_18	TRUB1	18096	-1.2868939638137817	-0.37797168	Yes	
row_19	LIN28A	18861	-5.268020153045654	5.3062162E-5	Yes	
