NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOE1	778	1.4376469850540161	-0.0020524114	No	
row_1	INTS5	2280	0.6699864268302917	-0.0636023	No	
row_2	MTPAP	3442	0.4230203926563263	-0.11381646	No	
row_3	RPRD1B	3624	0.39471909403800964	-0.11264445	No	
row_4	HSD17B10	3677	0.38678550720214844	-0.10482354	No	
row_5	EXOSC3	4020	0.34292569756507874	-0.11363872	No	
row_6	EXOSC2	4282	0.3086310029029846	-0.11908149	No	
row_7	SAGE1	4500	0.28315579891204834	-0.12287974	No	
row_8	TRMT10C	4662	0.2674875855445862	-0.12412631	No	
row_9	CPSF3	4983	0.23626670241355896	-0.13469042	No	
row_10	CLP1	5011	0.23395110666751862	-0.12972288	No	
row_11	SSU72	5428	0.1980188935995102	-0.14644371	No	
row_12	INTS7	5523	0.19016100466251373	-0.14624105	No	
row_13	INTS9	5783	0.16927850246429443	-0.15539229	No	
row_14	ELAC1	6691	0.10514180362224579	-0.20078942	No	
row_15	NCBP1	7108	0.07920835167169571	-0.2207628	No	
row_16	PARN	7168	0.07588370144367218	-0.22182572	No	
row_17	REXO5	7421	0.06036486104130745	-0.23358598	No	
row_18	TUT7	7760	0.039793118834495544	-0.25048682	No	
row_19	RPRD2	8095	0.022584980353713036	-0.26764584	No	
row_20	SSB	8096	0.022519420832395554	-0.26702935	No	
row_21	ZCCHC8	8188	0.017687780782580376	-0.27138865	No	
row_22	PAF1	8399	0.006782581098377705	-0.2823803	No	
row_23	PTCD1	8901	-0.018876710906624794	-0.3085295	No	
row_24	CPSF2	9176	-0.03231004998087883	-0.32222876	No	
row_25	RPS21	9206	-0.03402283042669296	-0.32284087	No	
row_26	INTS8	9550	-0.05255699157714844	-0.3396584	No	
row_27	CSTF3	9582	-0.05420280992984772	-0.33982456	No	
row_28	TENT4A	10176	-0.08804459124803543	-0.36897695	No	
row_29	EXOSC10	10277	-0.09378751367330551	-0.37173197	No	
row_30	NUDT21	10313	-0.09570229053497314	-0.37097493	No	
row_31	CPSF6	10420	-0.10075560212135315	-0.37385854	No	
row_32	NCBP2	10959	-0.13255399465560913	-0.39886504	No	
row_33	REXO1	11050	-0.13802379369735718	-0.39987677	No	
row_34	ZNF473	11140	-0.14395970106124878	-0.40067282	No	
row_35	INTS12	11380	-0.15919649600982666	-0.40903553	No	
row_36	EXOSC9	11416	-0.16169589757919312	-0.40647185	No	
row_37	CSTF2	11501	-0.16705730557441711	-0.40636942	No	
row_38	EXOSC7	11618	-0.1747640073299408	-0.40775925	No	
row_39	FBL	11819	-0.18928520381450653	-0.41322246	No	
row_40	ELAC2	12081	-0.2069362998008728	-0.42144924	No	
row_41	EXOSC6	12218	-0.21709580719470978	-0.4227447	No	
row_42	INTS14	12505	-0.23764720559120178	-0.43146133	No	
row_43	INTS2	12614	-0.2453846037387848	-0.43049204	No	
row_44	TRNT1	12814	-0.2620038092136383	-0.4339113	No	
row_45	TUT1	12903	-0.2709149122238159	-0.43117857	No	
row_46	INTS1	13035	-0.28125089406967163	-0.4304516	No	
row_47	PNLDC1	13083	-0.28545528650283813	-0.42513856	No	
row_48	DKC1	13719	-0.33724889159202576	-0.44970423	No	
row_49	SUPV3L1	14410	-0.4086959958076477	-0.47524133	No	
row_50	TENT2	14497	-0.41997000575065613	-0.46832165	No	
row_51	PCF11	15067	-0.4866054952144623	-0.48528564	Yes	
row_52	CDC73	15292	-0.5143046975135803	-0.48312855	Yes	
row_53	LSM11	15358	-0.5249913930892944	-0.47221604	Yes	
row_54	EXOSC5	15377	-0.5281749963760376	-0.45871478	Yes	
row_55	USB1	15850	-0.5989007949829102	-0.4674417	Yes	
row_56	EXOSC4	15920	-0.6132283806800842	-0.45432654	Yes	
row_57	ERI1	16052	-0.6335412859916687	-0.44395524	Yes	
row_58	LIN28B	16299	-0.6799092292785645	-0.43843552	Yes	
row_59	PAPOLA	16333	-0.6854311227798462	-0.42142764	Yes	
row_60	CPSF1	16402	-0.697395384311676	-0.40595508	Yes	
row_61	RPRD1A	16496	-0.7166599035263062	-0.39128578	Yes	
row_62	TUT4	16623	-0.7429832220077515	-0.3776523	Yes	
row_63	CPSF7	17012	-0.8278840780258179	-0.37563962	Yes	
row_64	PNPT1	17285	-0.9053657054901123	-0.36533168	Yes	
row_65	TENT4B	17315	-0.9145603179931641	-0.34183824	Yes	
row_66	LARP7	17380	-0.9378212094306946	-0.31957087	Yes	
row_67	INTS6	17427	-0.9524015188217163	-0.29594633	Yes	
row_68	EXOSC8	17712	-1.0659730434417725	-0.2818803	Yes	
row_69	LEO1	17994	-1.2206519842147827	-0.2634201	Yes	
row_70	SLBP	18028	-1.2430989742279053	-0.23114549	Yes	
row_71	MBLAC1	18073	-1.266342043876648	-0.19882005	Yes	
row_72	LSM10	18493	-1.7488009929656982	-0.17324638	Yes	
row_73	INTS6L	18508	-1.7739219665527344	-0.12542868	Yes	
row_74	LIN28A	18861	-5.268020153045654	5.3179683E-5	Yes	
