NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AJ	327	2.283302068710327	0.08278382	Yes	
row_1	H2BC21	375	2.1279470920562744	0.17361756	Yes	
row_2	H2BC8	437	1.9892040491104126	0.25762305	Yes	
row_3	H3C8	470	1.9232139587402344	0.34027374	Yes	
row_4	H2BC9	625	1.6293359994888306	0.40355912	Yes	
row_5	H2AC7	666	1.5878369808197021	0.47107598	Yes	
row_6	H2BC5	701	1.5312310457229614	0.5364287	Yes	
row_7	H2AC6	859	1.3795839548110962	0.58860105	Yes	
row_8	H2BC13	1077	1.1881710290908813	0.62919325	Yes	
row_9	H2AC8	1617	0.8889248967170715	0.63956785	Yes	
row_10	H2BC12	1633	0.8782466053962708	0.6772902	Yes	
row_11	H4C9	1735	0.8393301963806152	0.70874053	Yes	
row_12	H2BC11	2292	0.6673431992530823	0.7084944	Yes	
row_13	H2BC14	2315	0.6593583822250366	0.7362451	Yes	
row_14	H2BC26	2772	0.5509790778160095	0.73620385	No	
row_15	H2AX	3423	0.4252420961856842	0.7203496	No	
row_16	H2BC15	5192	0.21767069399356842	0.6360435	No	
row_17	H2AC14	5270	0.21105709671974182	0.6412127	No	
row_18	H2BC17	5762	0.17050080001354218	0.62262625	No	
row_19	H3-3B	5861	0.164022296667099	0.6246178	No	
row_20	H2AZ2	5911	0.16095690429210663	0.629076	No	
row_21	UBTF	6927	0.0908031165599823	0.57917804	No	
row_22	MAPK3	11737	-0.1827605962753296	0.3319118	No	
row_23	H2AC20	12188	-0.2148772031068802	0.3174481	No	
row_24	MBD2	17064	-0.8386625051498413	0.09544522	No	
