NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	QARS1	2333	0.6545060276985168	-0.092791505	No	
row_1	AARS2	2943	0.5137854814529419	-0.10068393	No	
row_2	HARS1	3761	0.37525680661201477	-0.12622419	No	
row_3	CARS2	5411	0.1993079036474228	-0.2043486	No	
row_4	MARS2	5672	0.1783898025751114	-0.20966852	No	
row_5	RARS1	6281	0.1330154985189438	-0.23563902	No	
row_6	PARS2	6717	0.10310079902410507	-0.25384212	No	
row_7	LARS2	7350	0.06523098051548004	-0.28431553	No	
row_8	FARSA	7501	0.05553046986460686	-0.28964114	No	
row_9	TARS2	7718	0.042305849492549896	-0.29910317	No	
row_10	DARS2	8434	0.004895443096756935	-0.33685955	No	
row_11	FARSB	8992	-0.022921910509467125	-0.36536267	No	
row_12	IARS2	10139	-0.08586917072534561	-0.42216325	No	
row_13	EEF1E1	10611	-0.11104699969291687	-0.44190073	No	
row_14	VARS2	11564	-0.1706921011209488	-0.48435465	No	
row_15	PPA2	12700	-0.2520517110824585	-0.5326576	No	
row_16	RARS2	12856	-0.26685959100723267	-0.52818596	No	
row_17	HARS2	12937	-0.27339309453964233	-0.5194183	No	
row_18	KARS1	13487	-0.3162311017513275	-0.5335298	No	
row_19	EPRS1	14345	-0.4024864137172699	-0.55989873	Yes	
row_20	FARS2	14602	-0.43313440680503845	-0.55287594	Yes	
row_21	AIMP2	14654	-0.43748149275779724	-0.534754	Yes	
row_22	VARS1	15207	-0.5027723908424377	-0.5401423	Yes	
row_23	SARS1	15211	-0.503466010093689	-0.51632804	Yes	
row_24	DARS1	15426	-0.5348907709121704	-0.50222826	Yes	
row_25	WARS2	15612	-0.5636546015739441	-0.48521805	Yes	
row_26	GARS1	15767	-0.5865867137908936	-0.46546873	Yes	
row_27	IARS1	16020	-0.6285498738288879	-0.44892824	Yes	
row_28	TARS1	16060	-0.6353422999382019	-0.42074713	Yes	
row_29	AIMP1	16229	-0.6663190722465515	-0.39794505	Yes	
row_30	LARS1	16341	-0.686751127243042	-0.37114152	Yes	
row_31	EARS2	16551	-0.7284787893295288	-0.34755796	Yes	
row_32	AARS1	16556	-0.7296767234802246	-0.3130253	Yes	
row_33	SARS2	16701	-0.7598481774330139	-0.28449446	Yes	
row_34	PPA1	16981	-0.8222727179527283	-0.26016396	Yes	
row_35	YARS2	17070	-0.8400015234947205	-0.22484103	Yes	
row_36	NARS2	17184	-0.87203449010849	-0.18932107	Yes	
row_37	WARS1	17291	-0.9068468809127808	-0.15177153	Yes	
row_38	YARS1	17493	-0.9832460880279541	-0.11563161	Yes	
row_39	NARS1	17654	-1.0426360368728638	-0.074485295	Yes	
row_40	MARS1	18173	-1.3581420183181763	-0.037336756	Yes	
row_41	CARS1	18356	-1.5517840385437012	0.02688488	Yes	
