NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	QARS1	2333	0.6545060276985168	-0.08927993	No	
row_1	AARS2	2943	0.5137854814529419	-0.09442957	No	
row_2	HARS1	3761	0.37525680661201477	-0.11796236	No	
row_3	CARS2	5411	0.1993079036474228	-0.19500683	No	
row_4	MARS2	5672	0.1783898025751114	-0.1993739	No	
row_5	RARS1	6281	0.1330154985189438	-0.22462924	No	
row_6	PARS2	6717	0.10310079902410507	-0.24227843	No	
row_7	LARS2	7350	0.06523098051548004	-0.2723973	No	
row_8	FARSA	7501	0.05553046986460686	-0.27742553	No	
row_9	TARS2	7718	0.042305849492549896	-0.28665987	No	
row_10	DARS2	8434	0.004895443096756935	-0.3243821	No	
row_11	FARSB	8992	-0.022921910509467125	-0.3527569	No	
row_12	IARS2	10139	-0.08586917072534561	-0.40908727	No	
row_13	VARS2	11564	-0.1706921011209488	-0.47569454	No	
row_14	TARS3	11656	-0.17688749730587006	-0.47116372	No	
row_15	RARS2	12856	-0.26685959100723267	-0.52072746	No	
row_16	HARS2	12937	-0.27339309453964233	-0.5105031	No	
row_17	KARS1	13487	-0.3162311017513275	-0.5229245	No	
row_18	EPRS1	14345	-0.4024864137172699	-0.5471405	Yes	
row_19	FARS2	14602	-0.43313440680503845	-0.5378083	Yes	
row_20	VARS1	15207	-0.5027723908424377	-0.5432754	Yes	
row_21	SARS1	15211	-0.503466010093689	-0.51678014	Yes	
row_22	DARS1	15426	-0.5348907709121704	-0.4998297	Yes	
row_23	WARS2	15612	-0.5636546015739441	-0.47981593	Yes	
row_24	GARS1	15767	-0.5865867137908936	-0.4569413	Yes	
row_25	IARS1	16020	-0.6285498738288879	-0.43705094	Yes	
row_26	TARS1	16060	-0.6353422999382019	-0.4054862	Yes	
row_27	LARS1	16341	-0.686751127243042	-0.38400188	Yes	
row_28	EARS2	16551	-0.7284787893295288	-0.35653684	Yes	
row_29	AARS1	16556	-0.7296767234802246	-0.3181186	Yes	
row_30	SARS2	16701	-0.7598481774330139	-0.28553993	Yes	
row_31	YARS2	17070	-0.8400015234947205	-0.26061684	Yes	
row_32	NARS2	17184	-0.87203449010849	-0.22045203	Yes	
row_33	WARS1	17291	-0.9068468809127808	-0.17807233	Yes	
row_34	YARS1	17493	-0.9832460880279541	-0.13669437	Yes	
row_35	NARS1	17654	-1.0426360368728638	-0.089994214	Yes	
row_36	MARS1	18173	-1.3581420183181763	-0.045607723	Yes	
row_37	CARS1	18356	-1.5517840385437012	0.02687921	Yes	
