NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGAM1	4164	0.3245522975921631	-0.19125277	No	
row_1	FOXO1	6077	0.14789670705795288	-0.2791744	No	
row_2	U2AF2	7264	0.06981004774570465	-0.33571884	No	
row_3	USP37	8251	0.014428920112550259	-0.38671967	No	
row_4	MYC	9762	-0.06438528001308441	-0.46095356	No	
row_5	OTUB2	9810	-0.06732092052698135	-0.4572854	No	
row_6	USP28	10258	-0.09224490821361542	-0.47256163	No	
row_7	SIRT7	11425	-0.1621267944574356	-0.5195946	No	
row_8	MTOR	11505	-0.16719509661197662	-0.50848264	No	
row_9	OTUD7B	11708	-0.18039430677890778	-0.50268936	No	
row_10	HIF1A	14178	-0.3846223056316376	-0.59849936	No	
row_11	VHL	14508	-0.4212256073951721	-0.577401	No	
row_12	USP19	16114	-0.643587589263916	-0.60365903	Yes	
row_13	OTUD6B	17130	-0.8565248250961304	-0.579118	Yes	
row_14	VEGFA	17355	-0.9257879257202148	-0.506263	Yes	
row_15	HK2	18138	-1.323364019393921	-0.4266261	Yes	
row_16	KDR	18471	-1.7184640169143677	-0.28694493	Yes	
row_17	USP44	18821	-3.360924005508423	0.0021756971	Yes	
