NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MRNA SPLICE SITE RECOGNITION%GOBP%GO:0006376	MRNA SPLICE SITE RECOGNITION%GOBP%GO:0006376	Details ...	29	-0.6470174	-1.8603243	0.0	1.0	0.774	1014	tags=14%, list=5%, signal=15%	
TRNA AMINOACYLATION%REACTOME%R-HSA-379724.3	TRNA AMINOACYLATION%REACTOME%R-HSA-379724.3	Details ...	42	-0.5790641	-1.8311534	0.0	1.0	0.903	4519	tags=55%, list=24%, signal=72%	
MIRNA METABOLIC PROCESS%GOBP%GO:0010586	MIRNA METABOLIC PROCESS%GOBP%GO:0010586	Details ...	18	-0.7076929	-1.8076135	0.0	0.9406947	0.962	2565	tags=28%, list=14%, signal=32%	
PROTEIN MANNOSYLATION%GOBP%GO:0035268	PROTEIN MANNOSYLATION%GOBP%GO:0035268	Details ...	18	-0.69849515	-1.7926999	0.006185567	0.86690015	0.982	313	tags=17%, list=2%, signal=17%	
REGULATION OF MIRNA-MEDIATED GENE SILENCING%GOBP%GO:0060964	REGULATION OF MIRNA-MEDIATED GENE SILENCING%GOBP%GO:0060964	Details ...	20	-0.6615655	-1.7925415	0.0	0.6944028	0.982	3944	tags=40%, list=21%, signal=51%	
CYTOSOLIC TRNA AMINOACYLATION%REACTOME%R-HSA-379716.3	CYTOSOLIC TRNA AMINOACYLATION%REACTOME%R-HSA-379716.3	Details ...	24	-0.6471719	-1.7840204	0.004464286	0.6482514	0.99	4519	tags=71%, list=24%, signal=93%	
MANNOSYLATION%GOBP%GO:0097502	MANNOSYLATION%GOBP%GO:0097502	Details ...	19	-0.69794536	-1.7793975	0.0020533882	0.5864142	0.991	313	tags=16%, list=2%, signal=16%	
TRANSCRIPTIONAL REGULATION OF PLURIPOTENT STEM CELLS%REACTOME%R-HSA-452723.4	TRANSCRIPTIONAL REGULATION OF PLURIPOTENT STEM CELLS%REACTOME%R-HSA-452723.4	Details ...	17	-0.7145269	-1.7771634	0.0042735045	0.5270448	0.993	257	tags=29%, list=1%, signal=30%	
REGULATION OF GENE SILENCING BY REGULATORY NCRNA%GOBP%GO:0060966	REGULATION OF GENE SILENCING BY REGULATORY NCRNA%GOBP%GO:0060966	Details ...	22	-0.6451318	-1.777063	0.004158004	0.4689766	0.993	3944	tags=36%, list=21%, signal=46%	
REGULATION OF POST-TRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060147	REGULATION OF POST-TRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060147	Details ...	20	-0.6615655	-1.765238	0.0044247787	0.49031648	0.998	3944	tags=40%, list=21%, signal=51%	
