NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_EARLY%MSIGDBHALLMARK%HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY%MSIGDBHALLMARK%HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	168	0.55395067	2.0526931	0.0	0.05155331	0.045	1364	tags=33%, list=7%, signal=35%	
CHROMATIN MODIFICATIONS DURING THE MATERNAL TO ZYGOTIC TRANSITION (MZT)%REACTOME%R-HSA-9821002.1	CHROMATIN MODIFICATIONS DURING THE MATERNAL TO ZYGOTIC TRANSITION (MZT)%REACTOME%R-HSA-9821002.1	Details ...	30	0.73926747	2.0457284	0.0	0.030214727	0.053	2315	tags=50%, list=12%, signal=57%	
ASSEMBLY OF THE ORC COMPLEX AT THE ORIGIN OF REPLICATION%REACTOME%R-HSA-68616.6	ASSEMBLY OF THE ORC COMPLEX AT THE ORIGIN OF REPLICATION%REACTOME%R-HSA-68616.6	Details ...	31	0.71498775	2.0086546	0.0	0.047932062	0.122	3467	tags=58%, list=18%, signal=71%	
CONDENSATION OF PROPHASE CHROMOSOMES%REACTOME DATABASE ID RELEASE 91%2299718	CONDENSATION OF PROPHASE CHROMOSOMES%REACTOME DATABASE ID RELEASE 91%2299718	Details ...	34	0.6973347	1.9990612	0.0	0.04556585	0.152	2772	tags=50%, list=15%, signal=59%	
REGULATION OF HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034110	REGULATION OF HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034110	Details ...	28	0.72074926	1.987742	0.0	0.048087202	0.199	1430	tags=29%, list=8%, signal=31%	
DNA METHYLATION%REACTOME DATABASE ID RELEASE 91%5334118	DNA METHYLATION%REACTOME DATABASE ID RELEASE 91%5334118	Details ...	26	0.7214184	1.9851635	0.001953125	0.042644575	0.211	2315	tags=54%, list=12%, signal=61%	
ICOSANOID BIOSYNTHETIC PROCESS%GOBP%GO:0046456	ICOSANOID BIOSYNTHETIC PROCESS%GOBP%GO:0046456	Details ...	32	0.68977386	1.9697247	0.0	0.049095888	0.271	1522	tags=31%, list=8%, signal=34%	
RNA POLYMERASE I PROMOTER OPENING%REACTOME%R-HSA-73728.4	RNA POLYMERASE I PROMOTER OPENING%REACTOME%R-HSA-73728.4	Details ...	25	0.7362451	1.9695965	0.0021276595	0.0429589	0.271	2315	tags=56%, list=12%, signal=64%	
GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071621	GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071621	Details ...	32	0.69031674	1.9671342	0.0	0.039772265	0.28	1995	tags=38%, list=11%, signal=42%	
CLEAVAGE OF THE DAMAGED PYRIMIDINE%REACTOME DATABASE ID RELEASE 91%110329	CLEAVAGE OF THE DAMAGED PYRIMIDINE%REACTOME DATABASE ID RELEASE 91%110329	Details ...	34	0.6871827	1.96347	0.0	0.038329817	0.297	2772	tags=50%, list=15%, signal=59%	
