NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MRNA SPLICE SITE RECOGNITION%GOBP%GO:0006376	MRNA SPLICE SITE RECOGNITION%GOBP%GO:0006376	Details ...	29	-0.6470174	-1.8523071	0.0010917031	1.0	0.819	1014	tags=14%, list=5%, signal=15%	
TRANSCRIPTIONAL REGULATION OF PLURIPOTENT STEM CELLS%REACTOME%R-HSA-452723.4	TRANSCRIPTIONAL REGULATION OF PLURIPOTENT STEM CELLS%REACTOME%R-HSA-452723.4	Details ...	17	-0.7145269	-1.8237538	0.0020876827	1.0	0.928	257	tags=29%, list=1%, signal=30%	
MANNOSYLATION%GOBP%GO:0097502	MANNOSYLATION%GOBP%GO:0097502	Details ...	19	-0.69794536	-1.8048687	0.0030737706	0.9878387	0.9645	313	tags=16%, list=2%, signal=16%	
MIRNA METABOLIC PROCESS%GOBP%GO:0010586	MIRNA METABOLIC PROCESS%GOBP%GO:0010586	Details ...	18	-0.7076929	-1.7976452	0.0010362695	0.8147311	0.9725	2565	tags=28%, list=14%, signal=32%	
TRNA AMINOACYLATION%REACTOME%R-HSA-379724.3	TRNA AMINOACYLATION%REACTOME%R-HSA-379724.3	Details ...	42	-0.5790641	-1.7924724	0.0	0.69654065	0.976	4519	tags=55%, list=24%, signal=72%	
CYTOSOLIC TRNA AMINOACYLATION%REACTOME%R-HSA-379716.3	CYTOSOLIC TRNA AMINOACYLATION%REACTOME%R-HSA-379716.3	Details ...	24	-0.6471719	-1.7863365	0.0010162601	0.6287575	0.981	4519	tags=71%, list=24%, signal=93%	
BIOCARTA_TFF_PATHWAY%MSIGDB_C2%BIOCARTA_TFF_PATHWAY	BIOCARTA_TFF_PATHWAY%MSIGDB_C2%BIOCARTA_TFF_PATHWAY	Details ...	19	-0.6844713	-1.785276	0.0050251256	0.5471091	0.9825	1580	tags=26%, list=8%, signal=29%	
PROTEIN O-LINKED MANNOSYLATION%GOBP%GO:0035269	PROTEIN O-LINKED MANNOSYLATION%GOBP%GO:0035269	Details ...	17	-0.7019337	-1.7744058	0.0040941657	0.5474322	0.991	313	tags=18%, list=2%, signal=18%	
PROTEIN MANNOSYLATION%GOBP%GO:0035268	PROTEIN MANNOSYLATION%GOBP%GO:0035268	Details ...	18	-0.69849515	-1.7721543	0.0	0.5008184	0.991	313	tags=17%, list=2%, signal=17%	
REGULATION OF POST-TRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060147	REGULATION OF POST-TRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060147	Details ...	20	-0.6615655	-1.7607222	0.0050607286	0.5233205	0.9955	3944	tags=40%, list=21%, signal=51%	
WNT SIGNALING%WIKIPATHWAYS_20250210%WP363%HOMO SAPIENS	WNT SIGNALING%WIKIPATHWAYS_20250210%WP363%HOMO SAPIENS	Details ...	35	-0.58357733	-1.7601097	0.002181025	0.47997144	0.9955	3026	tags=40%, list=16%, signal=48%	
TRNA AMINOACYLATION FOR PROTEIN TRANSLATION%GOBP%GO:0006418	TRNA AMINOACYLATION FOR PROTEIN TRANSLATION%GOBP%GO:0006418	Details ...	38	-0.56989336	-1.7584342	0.003218884	0.4497455	0.996	3657	tags=47%, list=19%, signal=59%	
REGULATION OF GENE SILENCING BY REGULATORY NCRNA%GOBP%GO:0060966	REGULATION OF GENE SILENCING BY REGULATORY NCRNA%GOBP%GO:0060966	Details ...	22	-0.6451318	-1.7569702	0.004287245	0.42336	0.996	3944	tags=36%, list=21%, signal=46%	
REGULATION OF MIRNA-MEDIATED GENE SILENCING%GOBP%GO:0060964	REGULATION OF MIRNA-MEDIATED GENE SILENCING%GOBP%GO:0060964	Details ...	20	-0.6615655	-1.7557222	0.0052137645	0.3995323	0.996	3944	tags=40%, list=21%, signal=51%	
PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20250210%WP3651%HOMO SAPIENS	PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20250210%WP3651%HOMO SAPIENS	Details ...	40	-0.5629661	-1.747543	0.0031982942	0.41145012	0.9985	3154	tags=33%, list=17%, signal=39%	
TRNA CHARGING%BIOCYC%TRNA-CHARGING-PWY	TRNA CHARGING%BIOCYC%TRNA-CHARGING-PWY	Details ...	38	-0.5698933	-1.7471796	0.0021344717	0.38742	0.9985	3657	tags=47%, list=19%, signal=59%	
BRAIN MORPHOGENESIS%GOBP%GO:0048854	BRAIN MORPHOGENESIS%GOBP%GO:0048854	Details ...	15	-0.7139584	-1.7425598	0.0050607286	0.38454795	0.9985	3088	tags=47%, list=16%, signal=56%	
RNA 3'-END PROCESSING%GOBP%GO:0031123	RNA 3'-END PROCESSING%GOBP%GO:0031123	Details ...	75	-0.49860692	-1.7408273	0.0	0.37073225	0.9985	3797	tags=32%, list=20%, signal=40%	
REGULATION OF POST-TRANSCRIPTIONAL GENE SILENCING BY REGULATORY NCRNA%GOBP%GO:1900368	REGULATION OF POST-TRANSCRIPTIONAL GENE SILENCING BY REGULATORY NCRNA%GOBP%GO:1900368	Details ...	20	-0.6615655	-1.734486	0.006134969	0.37818956	0.999	3944	tags=40%, list=21%, signal=51%	
MOLECULES ASSOCIATED WITH ELASTIC FIBRES%REACTOME%R-HSA-2129379.3	MOLECULES ASSOCIATED WITH ELASTIC FIBRES%REACTOME%R-HSA-2129379.3	Details ...	25	-0.6177279	-1.7312865	0.005192108	0.37332362	0.999	594	tags=16%, list=3%, signal=16%	
TRNA AMINOACYLATION%GOBP%GO:0043039	TRNA AMINOACYLATION%GOBP%GO:0043039		41	-0.55289704	-1.7235539	0.0032751092	0.3884352	0.999	3657	tags=44%, list=19%, signal=54%	
